base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
3ms,104,103.18139999999998,3098885.9,5597.6,276.2,1150.0,9433770092235.6,347205608833.0,6439326425228.0,1.858,3464079931604.8,484671026343.8,10784100052.4,30.033437322399998,3098.7293161999996,0.0499976,85268944.0
3ms,208,103.3386,3108448.096,259074.6,6354.6,1736.2,9457265299676.0,348320588592.8,6477910988153.0,1.8800000000000001,3445237237572.4,482439728508.4,10742233833.2,30.080374582,3108.1445418000003,1.4251364,84787926.2
3ms,312,103.50899999999999,3123232.26,292481.0,8856.0,2254.8,9498478017208.8,352359442147.4,6504143173405.0,1.888,3449698925213.6,483545878170.8,10756976254.8,30.173582993999997,3122.6690044,5.4680262,84865568.4
3ms,416,103.3382,3127259.3740000003,305452.2,10292.0,2832.6,9506609944645.6,349553910665.2,6526952945373.6,1.8960000000000001,3442468214509.0,483032449762.4,10721585150.2,30.2624207358,3126.5930374,6.9274182,84674199.2
3ms,520,103.28779999999999,3139030.264,309632.0,16291.2,2987.8,9538345213410.8,351288421535.6,6552455086098.2,1.8979999999999997,3449622346515.6,485004168049.4,10728857696.0,30.391110326,3138.2012013999997,9.809346199999998,84747323.4
3ms,624,103.31099999999999,3147902.002,308488.4,12547.8,3550.4,9565864367128.2,351702052755.8,6578894334012.2,1.908,3451406865333.4,485455125221.8,10731871577.8,30.470298731999996,3146.2791215999996,12.163811,84763085.4
3ms,728,103.11760000000001,3161975.56,313545.2,10406.8,3566.4,9604758015608.0,354732109362.2,6608289403630.0,1.9119999999999997,3460940421588.4,488359295382.8,10752564600.0,30.663846534599998,3160.291633,15.3531558,83751608.4
3ms,832,102.3776,3173687.312,312635.0,10201.8,3730.2,9636517090040.0,354065809425.2,6638219635939.0,1.9099999999999997,3469839784842.8,491552569666.6,10745298535.6,30.9997469854,3171.7883795999996,32.055706,84854387.6
3ms,936,103.1336,3196292.482,3539911.6,158940.6,3687.6,9692122303586.8,407444111067.4,6547154274112.6,1.8340000000000003,3569894696537.2,508036803748.4,11638080069.2,30.9918121294,3090.5383831999998,123.03844819999999,84980706.2
3ms,1040,103.046,3217418.3279999997,4768252.4,381154.2,3420.4,9750863232955.4,411308833810.2,6436278938643.8,1.716,3759216707695.6,548519962263.2,12085170985.6,31.223363938400002,3026.7676612,208.71450600000003,86575588.0
3ms,1144,102.4324,3224374.142,5311993.0,528503.4,3486.0,9767231206243.6,391763033668.4,6063975867560.8,1.47,4153810791742.0,652130967661.0,11861503955.4,31.478060657600004,2820.2899128,433.940175,85277725.0
3ms,1248,103.11880000000001,3267034.986,6114372.4,413011.6,3506.6,9894113281242.4,432151169204.4,6516482559761.0,1.7079999999999997,3823279109826.4,561504387447.8,12638127500.2,31.681993632,3017.1651152,267.61471800000004,86587051.6
6ms,104,101.933,3062649.9579999996,8073.4,346.0,1237.6,9322714018365.2,342864363306.4,6363835358908.8,1.848,3442714262676.4,481805425605.8,10751083678.8,30.0457806748,3062.3711186000005,0.3999924,84764463.0
