base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
10ms,104,103.6156,12440144.781,11863.6,430.0,6741.1,37876865283788.1,228467452097.0,26916604356716.3,2.5379999999999994,10612848040281.5,524636720489.0,586510195.3,120.0605489603,12439.892051400002,0.44199749999999993,1018236.6
10ms,208,103.54090000000001,12437221.867999999,519440.6,14269.9,11196.9,37859209444260.7,239705993117.6,26922644100005.6,2.543,10586906194670.0,524137574055.2,602816180.5,120.11917688520002,12436.1701107,4.3604136,1015351.2
10ms,312,103.4896,12439453.169999998,772821.4,27926.6,14382.7,37858785263322.3,247208546907.3,26986222077506.8,2.5639999999999996,10522839298518.5,521905185899.4,609373188.2,120.20001372890002,12438.223539099998,7.2414038000000005,1009113.2
10ms,416,103.60029999999999,12468282.496000003,834550.1,29372.9,18399.8,37941043296137.7,252078873769.1,27093983666826.3,2.5809999999999995,10491482591789.2,521862431608.0,609375100.3,120.34995692710001,12466.8055246,10.288511199999999,1005774.0
10ms,520,103.65799999999999,12482678.549,839516.5,43577.4,21261.0,37980758583567.0,253163493021.9,27133722271130.4,2.5889999999999995,10486387337719.1,522424083043.5,611411829.3,120.421831771,12481.1848135,10.681588,1005076.7
10ms,624,103.68350000000001,12499215.875999998,849061.5,35718.9,24675.7,38027446894750.2,254740352884.9,27185600983307.6,2.593,10481562167920.4,523997629730.1,610654447.4,120.55181847499998,12497.2731147,12.8871346,1004093.2
10ms,728,103.6036,12513761.837000001,849052.2,30275.2,27353.4,38069029052700.2,255724229086.5,27228078641522.9,2.5970000000000004,10486977534118.7,526767322160.0,610619166.6,120.7849201577,12512.165699399999,16.697034800000004,1003038.0
10ms,832,103.59970000000001,12524475.987,852478.8,28128.2,30112.2,38098909027790.3,257042317746.5,27262288342331.9,2.5990000000000006,10484661673832.7,527533378790.4,610689534.7,120.89286862639999,12522.235453899999,18.775340800000002,1003376.5
10ms,936,103.58420000000001,12552269.974000001,922112.6,47889.1,44397.1,38171044585580.5,288455408399.5,27569891207864.8,2.6859999999999995,10270547965875.8,520320405089.4,648173559.2,121.179428887,12541.0826814,30.100250300000006,980714.0
10ms,1040,103.5957,12567766.124,1223036.0,93699.1,52920.9,38197096638139.4,355308624104.6,27967314569206.9,2.823,9907369552155.0,506540835026.3,734556372.0,121.3158672519,12529.5651084,56.78738969999999,944582.9
10ms,1144,103.70060000000001,12582504.998,1800595.3,122151.3,49864.4,38223705850722.4,418313428778.6,28182623828190.6,2.9069999999999996,9716862604702.7,500759812600.7,875554669.8,121.3349140885,12509.778136699999,85.90249070000002,924175.3
10ms,1248,103.64840000000001,12615144.807999998,3075679.8,237884.7,73973.1,38296769770818.3,537229137132.0,28447716401334.5,3.002,9490786683141.9,503472020492.6,1139218932.3,121.71108216160003,12464.702192200002,162.0476802,895715.0
10ms,1352,103.649,12613468.649,3438250.6,205304.6,45671.9,38287597744496.3,564386217100.4,28433777901392.3,3.0119999999999996,9493819324645.3,506685871690.9,1211956900.9,121.69429050779999,12427.2734988,199.53969460000002,894315.9
10ms,1456,103.64269999999999,12667191.500999998,5089694.4,365000.6,72454.3,38424377543196.1,723151114257.8,28738424655422.5,3.1109999999999998,9265977765265.7,523853277819.8,1538984711.3,122.21992533099998,12342.9284931,339.1107566,858594.8
10ms,1560,103.67140000000002,12697654.391,4732317.3,306362.0,49663.1,38526851489457.8,688258792652.4,28553975808918.3,3.004,9562812723508.8,550262275325.0,1461203667.1,122.4800380271,12359.4660395,350.58661240000004,882282.8
10ms,1664,103.7068,12737390.478,5817596.3,393845.8,49195.1,38626719487605.0,816082597587.3,28693295410232.4,3.0380000000000003,9483218981006.4,587061580626.4,1683620868.7,122.8212694474,12225.8145892,520.4672774,855159.6
10ms,1768,103.6645,12768316.889,9718192.1,605635.9,28907.3,38659833280488.4,1257533749635.1,28927818461469.6,3.1719999999999997,9136879688774.2,684931555158.9,2495452274.9,123.16947334039999,11596.871939299997,1185.4638523,764827.1
10ms,1872,103.6799,12780844.431,8572312.3,562564.9,31343.2,38711132093023.8,1144287185916.7,28886581150875.0,3.12,9281285956953.0,676981778904.4,2260677981.7,123.27242868789999,11759.160307500002,1033.6622667,786157.1
10ms,1976,103.76489999999998,12831075.136,6406607.1,476113.6,51689.8,38895674340596.3,938449710439.0,28714345135690.8,2.9750000000000005,9715442994226.8,691822798835.5,1809845216.9,123.6554085753,12030.128660699998,805.0566792,833982.4
10ms,2080,103.7053,12830992.491,6461614.0,512668.1,59421.8,38900122791885.5,913080071426.9,28389627228959.5,2.85,10030396097297.3,727369220022.1,1806233123.6,123.72637361769998,12016.885347200001,822.4993101,854972.9
20ms,104,103.62539999999998,12438315.844,11202.8,476.7,6454.6,37869932682160.0,228464843604.2,26906210409915.9,2.534,10616349428126.1,524554871840.7,588522932.1,120.03143698029999,12438.098603100001,0.2549964,1018556.9
20ms,208,103.5837,12440166.413999999,441385.4,14732.2,11679.9,37868834628456.4,235180318285.5,26917803223444.6,2.5399999999999996,10600923238266.5,524524113687.7,603195942.4,120.09775446839998,12439.574606099999,3.1317145,1016093.0
20ms,312,103.66040000000001,12461017.533,508476.1,29371.4,14656.8,37927431046088.7,239649523271.1,27002311214385.8,2.554,10572437945852.2,524310259514.2,606491339.9,120.2100400359,12459.726063699998,5.574968,1013100.8
20ms,416,103.5442,12454485.292000001,510309.4,30727.1,18402.2,37902905742337.6,240786358007.6,27000933053145.6,2.557,10554940673058.5,523506466732.9,605801995.6,120.2819923564,12453.256141900001,8.964929999999999,1011578.0
20ms,520,103.7141,12491282.329,522917.5,43833.2,21355.7,38011339569116.8,243337152805.8,27095142953480.3,2.566,10560959646073.3,526289633171.7,607048000.4,120.43956025720001,12489.6577301,8.750975700000001,1012116.4
20ms,624,103.60929999999999,12488172.897000002,521019.2,32508.7,23836.0,37997749424827.8,243440207640.0,27089111825863.8,2.566,10559560913904.7,526270030968.9,607129338.7,120.5312192698,12486.566978399998,11.7965612,1011265.4
20ms,728,103.70810000000002,12519724.486,525282.6,30375.9,26521.1,38090964256193.7,245432247470.0,27173414682802.2,2.571,10565309857763.9,529218814526.4,607864119.6,120.72073403729999,12517.7270509,12.5011547,1011886.8
20ms,832,103.6511,12525733.118,526142.4,30093.3,28890.1,38105558044575.3,245976547703.2,27186001030339.7,2.57,10572728937915.6,530574057628.9,608582777.7,120.84506469329999,12523.3344435,12.7890999,1011545.8
20ms,936,103.65979999999999,12552156.645,588775.5,43250.7,39546.7,38173669816908.2,278818986021.0,27526714175124.1,2.666,10325711136954.2,521729500504.3,636141553.5,121.0898792486,12540.2871296,25.348575500000003,987347.7
20ms,1040,103.6942,12561062.719,911567.0,89144.9,56598.2,38184055642773.1,334346807866.0,27808863240088.3,2.7649999999999997,10062537334217.1,510821344976.0,700433528.1,121.13552638699998,12522.6058299,45.8294588,959106.1
20ms,1144,103.6655,12597055.871000001,1622876.3,120256.0,36062.5,38270121866628.2,418490829306.9,28203722909804.3,2.8950000000000005,9753377563670.2,504367939006.7,819168719.7,121.51635075760001,12507.940027999999,99.70981230000001,926241.4
20ms,1248,103.6615,12583495.071,1196734.1,84700.5,39649.5,38248750717991.6,338354602422.2,27790448196935.8,2.738,10170176548131.5,520708497024.2,745794998.5,121.3902382583,12530.501301500002,65.8329224,967030.2
20ms,1352,103.6774,12618456.357,3709526.3,231300.3,44834.5,38312664846260.2,556800363493.2,28333434239665.5,2.959,9624032590170.0,515480183388.1,1098983368.8,121.70888965499998,12374.215279099999,253.79514489999997,905410.7
20ms,1456,103.69859999999998,12668986.658000002,4689029.1,338170.9,46772.4,38450613528802.8,650427164248.3,28518818709515.6,2.9939999999999998,9545470025829.0,533651305625.8,1229751543.4,122.1712181371,12331.6645313,346.06576859999996,886743.5
20ms,1560,103.67549999999999,12710646.646000002,4261837.6,331006.2,43603.4,38578486553085.7,627604826578.4,28448969443870.9,2.929,9751291026942.8,558667530184.8,1173019998.5,122.60035342559999,12360.8672712,361.10380560000004,900601.3
20ms,1664,103.7251,12695513.25,6447455.4,508344.1,41998.2,38505885155395.9,822370522005.4,28319180895823.3,2.91,9741657053549.2,620540148319.0,1467916153.6,122.39603776819999,11996.7622614,705.3013565,868300.4
20ms,1768,103.70320000000001,12735412.041,8425521.2,657694.7,30990.6,38596071140085.7,1031835760611.3,28384399538393.9,2.919,9729975399290.1,707282909482.9,1744459302.1,122.80607659000002,11586.1145882,1152.9912390000002,825681.4
20ms,1872,103.73790000000001,12789835.838,8035092.5,669707.0,30372.8,38771323521361.6,1010816333329.3,28318677138844.2,2.8440000000000003,9966311770169.5,741010878189.9,1684546401.8,123.28967350600001,11622.2772423,1171.5313053,838933.4
20ms,1976,103.77360000000002,12813535.942,7215488.5,615499.8,29986.4,38849574479329.0,959959389339.7,28271236005824.7,2.7979999999999996,10126070186383.6,765408786691.9,1577601097.0,123.4759723315,11638.1343156,1177.8368610000002,847157.2
20ms,2080,103.76629999999997,12884277.951999998,6277369.8,551453.4,37704.0,39073494522182.1,888572995278.9,28498071709744.0,2.8269999999999995,10137488392019.0,743993660514.5,1445077816.4,124.16628330270001,11871.633181100002,1014.1411958999997,860636.4
